央视频道,#genre#	


test1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
test2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8
test3,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
test4,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8
test5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
test6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
test7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
test8,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
